# Black: TCG-HollowNoGo-Demo
# BlackCommand: ../pj-4-code-v1/nogo --shell --black="mcts N=5000 c=1 simenemy=a"
# BlackLabel: TCG-HollowNoGo-Demo:2021
# BlackVersion: 2021
# Date: December 12, 2021 at 11:08:58 PM CST
# Host: NV16 (Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz)
# Komi: 0
# Referee: -
# Size: 9
# White: TCG-HollowNoGo-Demo
# WhiteCommand: ../pj-4-code-v1/nogo --shell --white="mcts N=5000 c=1 simenemy=random"
# WhiteLabel: TCG-HollowNoGo-Demo:2021
# WhiteVersion: 2021
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	B+R	B+R	B+R	0	-	63	9.1	9.4	0	0	0	
1	W+R	W+R	W+R	0	-	60	8.6	8.7	0	0	0	
2	B+R	B+R	B+R	0	-	59	8.4	8.6	0	0	0	
3	B+R	B+R	B+R	0	-	65	9.7	9.7	0	0	0	
4	W+R	W+R	W+R	0	-	62	9.3	9.3	0	0	0	
5	W+R	W+R	W+R	0	-	64	9.2	9.5	0	0	0	
6	W+R	W+R	W+R	0	-	58	9.7	9.7	0	0	0	
7	W+R	W+R	W+R	0	-	62	8.9	8.8	0	0	0	
8	B+R	B+R	B+R	0	-	61	9.5	9.3	0	0	0	
9	W+R	W+R	W+R	0	-	60	9.6	9.4	0	0	0	
10	B+R	B+R	B+R	0	-	63	9.4	9.5	0	0	0	
11	B+R	B+R	B+R	0	-	63	9.1	9.1	0	0	0	
12	B+R	B+R	B+R	0	-	63	9.2	9.3	0	0	0	
13	W+R	W+R	W+R	0	-	62	8.9	8.9	0	0	0	
14	B+R	B+R	B+R	0	-	63	8.9	9.4	0	0	0	
15	B+R	B+R	B+R	0	-	61	8.8	9.3	0	0	0	
16	B+R	B+R	B+R	0	-	63	9	9	0	0	0	
17	B+R	B+R	B+R	0	-	63	10.6	10.5	0	0	0	
18	B+R	B+R	B+R	0	-	63	9.4	9.4	0	0	0	
19	B+R	B+R	B+R	0	-	63	10.2	10	0	0	0	
20	W+R	W+R	W+R	0	-	62	9	8.8	0	0	0	
21	B+R	B+R	B+R	0	-	61	9.1	8.9	0	0	0	
22	W+R	W+R	W+R	0	-	64	9.3	9.1	0	0	0	
23	W+R	W+R	W+R	0	-	62	8.5	8.8	0	0	0	
24	W+R	W+R	W+R	0	-	64	9.8	9.4	0	0	0	
25	W+R	W+R	W+R	0	-	62	9	8.9	0	0	0	
26	B+R	B+R	B+R	0	-	61	9.1	9	0	0	0	
27	B+R	B+R	B+R	0	-	65	9.3	9.1	0	0	0	
28	W+R	W+R	W+R	0	-	64	9.8	9.6	0	0	0	
29	B+R	B+R	B+R	0	-	63	9.2	9	0	0	0	
30	B+R	B+R	B+R	0	-	63	10	9.7	0	0	0	
31	B+R	B+R	B+R	0	-	61	8.9	8.9	0	0	0	
32	W+R	W+R	W+R	0	-	64	9.6	9.1	0	0	0	
33	W+R	W+R	W+R	0	-	62	9	9.1	0	0	0	
34	W+R	W+R	W+R	0	-	60	8.9	9.4	0	0	0	
35	W+R	W+R	W+R	0	-	60	8.7	9	0	0	0	
36	B+R	B+R	B+R	0	-	63	9.3	9.9	0	0	0	
37	W+R	W+R	W+R	0	-	62	9.3	9.3	0	0	0	
38	B+R	B+R	B+R	0	-	61	9.2	8.8	0	0	0	
39	W+R	W+R	W+R	0	-	60	9.2	9.1	0	0	0	
40	B+R	B+R	B+R	0	-	63	9.1	9.2	0	0	0	
41	B+R	B+R	B+R	0	-	63	10.5	10.4	0	0	0	
