# Black: TCG-HollowNoGo-Demo
# BlackCommand: ../pj-4-code-v1/nogo --shell --black="mcts N=5000 c=1 simenemy=random"
# BlackLabel: TCG-HollowNoGo-Demo:2021
# BlackVersion: 2021
# Date: December 13, 2021 at 12:28:28 AM CST
# Host: NV16 (Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz)
# Komi: 0
# Referee: -
# Size: 9
# White: TCG-HollowNoGo-Demo
# WhiteCommand: ../pj-4-code-v1/nogo --shell --white="mcts N=5000 c=1 simenemy=a"
# WhiteLabel: TCG-HollowNoGo-Demo:2021
# WhiteVersion: 2021
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	B+R	B+R	B+R	0	-	61	9.4	8.7	0	0	0	
1	B+R	B+R	B+R	0	-	61	9.5	8.7	0	0	0	
2	W+R	W+R	W+R	0	-	62	9.1	8.3	0	0	0	
3	B+R	B+R	B+R	0	-	61	9	8.4	0	0	0	
4	B+R	B+R	B+R	0	-	63	9.9	9.2	0	0	0	
5	B+R	B+R	B+R	0	-	61	9.2	8.4	0	0	0	
6	B+R	B+R	B+R	0	-	63	9	8.5	0	0	0	
7	W+R	W+R	W+R	0	-	62	9.1	8.3	0	0	0	
8	W+R	W+R	W+R	0	-	64	10	9.1	0	0	0	
9	B+R	B+R	B+R	0	-	59	8.9	8.2	0	0	0	
10	W+R	W+R	W+R	0	-	64	9.7	8.9	0	0	0	
11	W+R	W+R	W+R	0	-	64	10	8.8	0	0	0	
12	B+R	B+R	B+R	0	-	61	9.6	8.8	0	0	0	
13	B+R	B+R	B+R	0	-	63	9.7	9	0	0	0	
14	B+R	B+R	B+R	0	-	61	9.4	8.7	0	0	0	
15	W+R	W+R	W+R	0	-	62	9.3	8.5	0	0	0	
16	B+R	B+R	B+R	0	-	61	9.3	8.7	0	0	0	
17	W+R	W+R	W+R	0	-	60	8.8	8.1	0	0	0	
18	B+R	B+R	B+R	0	-	65	9.6	8.9	0	0	0	
19	B+R	B+R	B+R	0	-	59	9.1	8.6	0	0	0	
20	W+R	W+R	W+R	0	-	62	9.2	8.5	0	0	0	
